Date,Open,High,Low,Close,Volume,rsi,stoch_rsi,stoch_rsi_d,stoch_rsi_k,stoch_osc,awesome_osc,force_index,ease_move,ease_move_signal,obv,adi,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down,adx,adx_neg,adx_pos,ema_50,ema_200,sma_50,sma_200
2014-07-28,96.83999634,97.01999664,96.01999664,96.76999664,25603400,64.2753377,0.60466406,0.53532796,0.58302031,80.92771748,2.40661745,1921566.12423706,-0.11719697,0.22551203,535101800,1031455478.923024,97.47474956,95.63300056,93.79125157,0.88669044,1.08024343,1.07636521,80.0,88.0,8.0,21.51549943,24.8914935,23.62465165,93.49863,88.44878067,93.20580017,88.07310009
2014-07-29,96.98000336,97.19999695,96.51999664,96.59999847,27022200,62.54128596,0.48181869,0.56281905,0.55986533,76.54632688,2.34702855,990810.31779262,0.85559358,0.27275586,508079600,1010791586.302216,97.47423753,95.76750031,94.06076308,0.87192686,1.03412354,1.06791687,80.0,84.0,4.0,20.02071489,23.50489101,23.78318889,93.62025229,88.52988731,93.38360016,88.16305008
2014-07-30,97.13999939,97.31999969,96.59999847,96.98000336,35348500,64.82568985,0.64365264,0.57319915,0.5767118,83.38563092,2.20449964,2768209.21526477,0.20369116,0.35951626,543428100,1012755808.041715,97.60973542,95.86950035,94.12926528,0.86107503,1.01651862,1.05763722,76.0,80.0,4.0,18.78819297,22.10103538,23.35816782,93.75200723,88.61396807,93.55680023,88.25180008
2014-07-31,96.18000031,96.33999634,94.87999725,95.01999664,50047900,48.422726,0.0,0.50391141,0.37515711,21.94346121,1.77896919,-11640709.246195,-3.93823139,-0.06634817,493380200,972306099.6127964,97.61314404,95.86550026,94.11785648,0.94957011,0.83478752,1.01306728,72.0,76.0,4.0,19.10296673,31.5480031,19.66835559,93.80173231,88.67770965,93.69720016,88.32795006
2014-08-01,94.81999969,95.33999634,94.04000092,94.66999817,60708000,46.17582903,0.0,0.3888066,0.21455088,18.15553406,1.33476248,-13013137.54915905,-1.97007546,-0.37021547,432672200,970438111.8198707,97.6371889,95.81400032,93.99081174,0.97460049,0.65497225,0.94144828,68.0,72.0,4.0,20.03865939,34.69855227,17.79441759,93.83578195,88.73733441,93.8138002,88.40390003
2014-08-04,94.87000275,95.69000244,94.51999664,95.31999969,33230500,50.74673085,0.20204991,0.21901932,0.06734997,36.88755991,0.96970421,-8068421.36989076,1.46116814,-0.19055867,465902700,982650978.7658458,97.63709424,95.80950012,93.98190601,0.98855801,0.55847925,0.86485447,64.0,68.0,4.0,20.43540776,31.76516652,18.81907302,93.89398657,88.80283356,93.93560013,88.47860004
2014-08-05,94.94000244,95.20999908,94.15000153,94.58999634,50331100,46.01994622,0.0,0.11641694,0.06734997,15.8500066,0.46782251,-12164628.59678642,-0.89506916,-0.34782502,415571600,974103791.7631971,97.60258655,95.82599983,94.04941311,1.00151802,0.41828099,0.77553978,44.0,64.0,20.0,21.0900236,31.75335053,17.24872248,93.92128107,88.86041727,94.02980011,88.54735004
2014-08-06,94.0,95.11000061,93.91999817,94.51999664,34431900,45.581514,0.0,0.06734997,0.06734997,16.71303095,-0.07926562,-10771142.01041951,-0.5702604,-0.14251751,381139700,974392975.9261451,97.63306006,95.80399971,93.97493936,1.01498119,0.2980883,0.68004948,44.0,60.0,16.0,21.87285813,30.7127803,15.80421844,93.94476011,88.9167315,94.10020004,88.60920002
2014-08-07,94.95999908,95.13999939,93.88999939,94.22000122,33274700,43.66169572,0.0,0.04489998,0.0,9.11606576,-0.34782396,-10658444.24900408,0.0,-0.24276029,347865000,958687415.010618,97.67503699,95.78199959,93.88896219,1.03176825,0.17659196,0.57935798,-44.0,56.0,100.0,22.59977592,28.05500076,14.43657514,93.95555388,88.96950035,94.17020004,88.66865002
2014-08-08,94.37000275,95.01000214,93.97000122,94.90000153,40236900,48.91402806,0.20895016,0.04566667,0.06965005,27.90059033,-0.44047044,-5227080.17352815,-0.06461145,-0.28691894,388101900,990412623.3523264,97.68323324,95.76349983,93.84376643,1.0323563,0.13363511,0.4902134,-44.0,52.0,96.0,23.274771,26.03623299,13.39775526,93.99259104,89.02851031,94.24220001,88.73090004
