Date,Open,High,Low,Close,Volume,rsi,awesome_oscillator,force_index,ease_of_movement,ease_of_movement_signal,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down
2013-11-05,17.8390007,18.00849915,17.74200058,17.94449997,40142000,68.61066547,1.64763319,17398384.0884174,-0.00647253,0.02461457,18.99666405,17.7248003,16.45293655,0.43705574,0.5574065,0.49138739,80.0,85.0,5.0
2013-11-06,18.02249908,18.14349937,17.72500038,17.80900002,45646000,64.65893368,1.54130809,13110490.45225206,0.05409334,0.04193239,18.74633318,17.87190037,16.99746755,0.43520006,0.51961008,0.49703193,75.0,80.0,5.0
2013-11-07,17.79299927,17.89500046,17.09399986,17.1779995,84926000,49.8135512,1.35924978,983428.54102273,-0.41476083,-0.00181207,18.48353576,17.92865028,17.37376481,0.47178011,0.42800125,0.48322579,60.0,75.0,15.0
2013-11-08,17.29750061,17.55249977,17.20199966,17.51549911,53138000,55.83916374,1.17157472,4065360.57528435,-0.0773388,-0.06003505,18.44278725,17.86325016,17.28371307,0.46205213,0.3819964,0.46297991,60.0,70.0,10.0
2013-11-11,17.52949905,17.76849937,17.40299988,17.71899986,45234000,59.12693894,1.04750814,4999868.2562485,0.16847197,-0.04216703,18.42912059,17.84435005,17.25957951,0.45239687,0.35894531,0.44217299,60.0,65.0,5.0
2013-11-12,17.64949989,17.77400017,17.36400032,17.47649956,46862000,53.82146583,0.92949986,2024610.51854014,-0.01465418,-0.04217906,18.36582123,17.77849998,17.19117874,0.44815717,0.31467032,0.41667246,55.0,60.0,5.0
2013-11-13,17.37000084,17.81100082,17.2840004,17.81100082,55466000,59.40437906,0.79994167,5029853.55999676,-0.0204275,-0.04816215,18.31334801,17.75419998,17.19505196,0.45604149,0.30540764,0.3944195,50.0,55.0,5.0
2013-11-14,17.86949921,18.4470005,17.82150078,18.37000084,83196000,66.84684902,0.85336674,12571073.87081011,0.44114138,-0.00644227,18.39005265,17.77105007,17.15204749,0.47403731,0.34166068,0.38386773,90.0,100.0,10.0
2013-11-15,18.38150024,18.64500046,18.27750015,18.45849991,89832000,67.88261687,0.98130851,11730887.41895738,0.13377469,0.01261425,18.56287698,17.82189999,17.08092299,0.46338361,0.37024339,0.38114286,95.0,100.0,5.0
2013-11-18,18.51399994,18.67449951,18.23349953,18.30900002,54748000,64.12244775,1.06072518,8109849.67873191,-0.00584057,0.0257987,18.65478765,17.85909996,17.06341227,0.46114525,0.37204717,0.37932373,85.0,95.0,10.0
2013-11-19,18.29100037,18.43899918,18.125,18.24699974,38096000,62.52648396,1.10377507,6205883.83471176,-0.14176774,0.01226918,18.7180404,17.88934994,17.06065947,0.44643064,0.36157207,0.3757734,85.0,90.0,5.0
2013-11-20,18.37800026,18.37800026,18.02249908,18.12849998,35430000,59.3874985,1.1276499,4314187.43747369,-0.08202707,-0.00134287,18.75971471,17.92129993,17.08288516,0.43733769,0.33729707,0.36807813,80.0,85.0,5.0
2013-11-21,18.20249939,18.46249962,18.16500092,18.44599915,39292000,64.66801021,1.06083315,5798003.72608598,0.08593678,0.0487269,18.77456524,18.0480999,17.32163456,0.42700389,0.34097573,0.36265765,30.0,80.0,50.0
2013-11-22,18.5,18.72500038,18.31550026,18.6154995,59310000,67.19790987,0.96759982,6571651.3786107,0.14257595,0.07071837,18.86142301,18.15809994,17.45477687,0.42525351,0.3524699,0.3606201,55.0,100.0,45.0
2013-11-25,18.69099998,18.88949966,18.6590004,18.83200073,59446000,70.22379108,0.92138327,7716829.75940729,0.09848728,0.0637199,19.01078108,18.26940002,17.52801897,0.41012818,0.3736199,0.36322006,60.0,100.0,40.0
2013-11-26,18.88050079,19.125,18.74099922,19.06850052,54488000,73.22196563,0.93385828,8656751.68680731,0.11187778,0.0763731,19.10106972,18.42860012,17.75613052,0.40751544,0.40328295,0.37123264,65.0,100.0,35.0
2013-11-27,19.17499924,19.35000038,19.13050079,19.33550072,45394000,76.22491439,1.01414178,9286470.83548728,0.14856911,0.09327276,19.31294306,18.58105011,17.84915716,0.39491388,0.44137496,0.3852611,70.0,100.0,30.0
