Date,Open,High,Low,Close,Volume
2013-09-25,15.7265,15.8355,15.5375,15.6325,40172000
2013-09-26,15.695,15.9685,15.663,15.906,39798000
2013-09-27,15.846,15.8605,15.6675,15.8005,33150000
2013-09-30,15.6705,15.7655,15.553,15.632,32472000
2013-10-01,15.711,16.05,15.6825,16.0475,47928000
2013-10-02,15.902,16.0865,15.876,16.0255,44348000
2013-10-03,16.0195,16.146,15.651,15.738,53496000
2013-10-04,15.7565,15.96,15.631,15.952,36300000
2013-10-07,15.762,15.767,15.487,15.5015,41664000
2013-10-08,15.575,15.5775,15.0135,15.1615,63324000
2013-10-09,15.171,15.175,14.825,14.9115,64948000
2013-10-10,15.2315,15.335,15.1295,15.2585,51102000
2013-10-11,15.2385,15.5465,15.192,15.5445,43262000
2013-10-14,15.461,15.5825,15.35,15.535,38782000
2013-10-15,15.4935,15.5395,15.263,15.32,45222000
2013-10-16,15.419,15.54,15.2775,15.5245,43414000
2013-10-17,15.3535,15.55,15.262,15.5385,52968000
2013-10-18,15.968,16.5945,15.8375,16.4465,119396000
2013-10-21,16.4945,16.5,16.19,16.322,50446000
2013-10-22,16.386,16.8555,16.284,16.627,78710000
2013-10-23,16.542,16.586,16.203,16.338,56364000
2013-10-24,16.4815,16.6325,16.3375,16.6105,117694000
2013-10-25,17.93,18.42,17.631,18.1695,240736000
2013-10-28,17.996,18.1375,17.86,17.908,72716000
2013-10-29,17.948,18.1445,17.8145,18.135,43708000
2013-10-30,18.131,18.25,17.9325,18.054,90044000
2013-10-31,18.0865,18.3,17.95,18.2015,49336000
2013-11-01,18.2815,18.2885,17.805,17.95,66620000
2013-11-04,18.006,18.05,17.72,17.937,38768000
2013-11-05,17.839,18.0085,17.742,17.9445,40142000
2013-11-06,18.0225,18.1435,17.725,17.809,45646000
2013-11-07,17.793,17.895,17.094,17.178,84926000
2013-11-08,17.2975,17.5525,17.202,17.5155,53138000
2013-11-11,17.5295,17.7685,17.403,17.719,45234000
2013-11-12,17.6495,17.774,17.364,17.4765,46862000
2013-11-13,17.37,17.811,17.284,17.811,55466000
2013-11-14,17.8695,18.447,17.8215,18.37,83196000
2013-11-15,18.3815,18.645,18.2775,18.4585,89832000
2013-11-18,18.514,18.6745,18.2335,18.309,54748000
2013-11-19,18.291,18.439,18.125,18.247,38096000
2013-11-20,18.378,18.378,18.0225,18.1285,35430000
2013-11-21,18.2025,18.4625,18.165,18.446,39292000
2013-11-22,18.5,18.725,18.3155,18.6155,59310000
2013-11-25,18.691,18.8895,18.659,18.832,59446000
2013-11-26,18.8805,19.125,18.741,19.0685,54488000
2013-11-27,19.175,19.35,19.1305,19.3355,45394000
2013-11-29,19.455,19.705,19.431,19.681,48120000
2013-12-02,19.95,19.95,19.455,19.615,94280000
2013-12-03,19.5055,19.5475,19.155,19.233,74058000
2013-12-04,19.175,19.4845,19.0745,19.298,47106000
2013-12-05,19.3325,19.3325,19.0685,19.2245,38130000
2013-12-06,19.4175,19.4175,19.1915,19.3475,39694000
2013-12-09,19.4055,19.4105,19.1285,19.2445,55236000
2013-12-10,19.187,19.453,19.151,19.389,54736000
2013-12-11,19.367,19.449,19.1,19.1095,49026000
2013-12-12,19.063,19.25,18.975,19.0625,42474000
2013-12-13,19.266,19.471,19.19,19.212,60500000
2013-12-16,19.2515,19.585,19.25,19.4485,45034000
2013-12-17,19.5325,19.568,19.325,19.3825,46878000
2013-12-18,19.4615,19.815,19.155,19.798,69782000
2013-12-19,19.7135,19.8645,19.63,19.7595,48544000
2013-12-20,19.8275,20.236,19.789,20.11,100678000
2013-12-23,20.1845,20.25,19.96,20.146,53190000
2013-12-24,20.126,20.186,19.8185,19.96,27608000
2013-12-26,20.0895,20.226,19.8405,20.2195,37370000
2013-12-27,20.2325,20.2815,19.8125,19.904,39738000
2013-12-30,19.9705,19.996,19.6225,19.6685,49742000
2013-12-31,19.729,19.9415,19.69,19.9395,39930000
2014-01-02,19.94,19.968,19.701,19.8985,42756000
2014-01-03,19.9145,20.1355,19.811,19.822,44204000
2014-01-06,19.7925,19.85,19.421,19.6815,63412000
2014-01-07,19.752,19.9235,19.7145,19.9015,38320000
2014-01-08,19.9235,20.15,19.802,20.096,46330000
2014-01-09,20.1855,20.3445,19.922,20.0505,42060000
2014-01-10,20.1265,20.188,19.69,19.883,53590000
2014-01-13,19.899,19.989,19.4225,19.549,56898000
2014-01-14,19.6065,19.9315,19.5645,19.877,46802000
2014-01-15,19.947,19.9655,19.6265,19.7935,53566000
2014-01-16,19.684,19.9645,19.4705,19.79,52024000
2014-01-17,19.713,20.1745,19.683,19.9805,90102000
2014-01-21,20.15,20.39,20.08,20.3525,62442000
2014-01-22,20.4,20.403,20.1,20.227,41210000
2014-01-23,20.05,20.3085,19.8895,19.9935,60508000
2014-01-24,19.908,20.01,19.3635,19.38,89168000
2014-01-27,19.525,19.705,19.0245,19.314,78736000
2014-01-28,19.37,19.737,19.356,19.7215,57890000
2014-01-29,19.608,19.6425,19.162,19.21,67646000
2014-01-30,19.6885,20.3125,19.385,20.1505,209478000
2014-01-31,18.588,18.7725,17.888,17.9345,323096000
2014-02-03,17.949,18.0425,17.005,17.3075,205616000
2014-02-04,17.4795,17.7,17.201,17.3975,96258000
2014-02-05,17.3,17.4685,16.8865,17.3225,88708000
2014-02-06,17.37,17.741,17.37,17.7295,66714000
2014-02-07,17.949,18.09,17.6245,18.054,86610000
2014-02-10,18.0805,18.25,17.9675,18.0435,68994000
2014-02-11,18.092,18.1805,17.8125,18.0895,64442000
2014-02-12,17.8215,17.8875,17.316,17.4625,131754000
2014-02-13,17.385,17.86,17.325,17.86,83500000
2014-02-14,17.967,17.967,17.6675,17.8675,70404000
2014-02-18,17.764,17.7865,17.4725,17.6825,99960000
2014-02-19,17.632,17.727,17.305,17.369,83362000
2014-02-20,17.44,17.523,17.219,17.49,69856000
2014-02-21,17.622,17.707,17.3375,17.338,84200000
2014-02-24,17.2595,17.65,17.1645,17.589,72894000
2014-02-25,17.65,18.054,17.579,17.916,74728000
2014-02-26,17.993,18.2375,17.8585,17.99,72442000
2014-02-27,17.861,18.0295,17.775,18.0065,62098000
2014-02-28,18.03,18.2935,17.854,18.105,77640000
2014-03-03,17.937,18.048,17.724,17.989,55966000
2014-03-04,18.195,18.284,18.123,18.195,54088000
2014-03-05,18.2065,18.6365,18.195,18.6185,76966000
2014-03-06,18.7025,18.7665,18.445,18.608,58532000
2014-03-07,18.729,18.7495,18.4765,18.603,45596000
2014-03-10,18.6345,18.6365,18.35,18.5265,42116000
2014-03-11,18.5495,18.64,18.364,18.441,44922000
2014-03-12,18.32,18.558,18.1805,18.532,44332000
2014-03-13,18.831,19.1555,18.404,18.5755,136580000
2014-03-14,18.64,18.9285,18.5775,18.687,88044000
2014-03-17,18.786,18.9425,18.744,18.752,46060000
2014-03-18,18.866,18.95,18.75,18.9385,49670000
2014-03-19,18.9385,18.95,18.471,18.6615,52934000
2014-03-20,18.532,18.65,18.311,18.4485,51170000
2014-03-21,18.55,18.642,17.92,18.031,108282000
2014-03-24,18.0045,18.075,17.43,17.5925,97470000
2014-03-25,17.7015,17.9485,17.442,17.7355,88914000
2014-03-26,17.8565,17.88,17.17,17.1705,82414000
2014-03-27,17.1575,17.2,16.544,16.9235,115328000
2014-03-28,17.0025,17.35,16.804,16.9145,79736000
2014-03-31,17.12,17.3145,16.703,16.8185,85950000
2014-04-01,16.9045,17.2215,16.9,17.1495,72002000
2014-04-02,17.2995,17.415,17.019,17.098,89510000
2014-04-03,17.091,17.125,16.423,16.681,127986000
2014-04-04,16.7575,16.772,15.7805,16.15,250692000
