Date,AMZN,AAPL,MSFT,GOOGL,TSLA,NVDA,META,NFLX
2013-09-16,14.991,16.4643,33.38,22.4274,11.2,3.9825,44.85,44.2857
2013-09-17,14.8815,15.9986,33.42,22.2075,11.0053,3.9675,42.5,43.1486
2013-09-18,15.203,16.5421,32.99,22.1809,11.138,3.9675,44.84,42.7086
2013-09-19,15.6885,16.8107,33.48,22.6724,11.3867,4.0175,45.51,44.0529
2013-09-20,15.627,17.0714,33.41,22.4822,11.9267,3.9925,46.32,43.6914
2013-09-23,15.7005,17.7179,32.54,22.4262,12.2987,3.945,47.28,45.77
2013-09-24,15.6215,17.6743,32.87,22.1847,11.9427,3.9125,48.51,43.0429
2013-09-25,15.7265,17.4714,32.49,22.1859,12.2373,3.9175,49.23,44.0286
2013-09-26,15.695,17.3571,32.64,21.9795,12.4467,3.94,50.01,44.0057
2013-09-27,15.846,17.2779,32.88,21.8924,12.5013,3.8875,50.29,44.3943
2013-09-30,15.6705,17.0446,33.0,21.7487,12.6,3.855,50.14,43.96
2013-10-01,15.711,17.0875,33.35,22.0283,12.9307,3.895,49.97,44.9671
2013-10-02,15.902,17.3439,33.36,22.0903,12.5727,3.8475,50.13,46.0129
2013-10-03,16.0195,17.5182,33.88,22.2222,11.67,3.8875,50.47,47.2871
2013-10-04,15.7565,17.2807,33.69,21.8969,11.76,3.84,49.77,46.24
2013-10-07,15.762,17.3771,33.6,21.708,12.164,3.8825,50.73,46.2914
2013-10-08,15.575,17.4979,33.31,21.6547,12.2933,3.8875,50.6,45.6129
2013-10-09,15.171,17.3086,33.07,21.4284,11.6487,3.89,47.38,42.89
2013-10-10,15.2315,17.5471,33.31,21.6176,11.5393,3.8325,47.87,43.0
2013-10-11,15.2385,17.3925,33.68,21.6724,11.5167,3.7875,49.18,43.4729
2013-10-14,15.461,17.4939,33.9,21.6882,11.6667,3.805,48.31,44.3729
2013-10-15,15.4935,17.7682,34.67,21.9159,12.352,3.8725,49.99,46.4429
2013-10-16,15.419,17.8854,34.6,22.1689,12.3267,3.875,50.04,45.73
2013-10-17,15.3535,17.8564,34.45,22.3471,12.236,3.87,51.12,46.03
2013-10-18,15.968,18.0711,34.82,24.4389,12.2767,3.9,54.18,47.7143
2013-10-21,16.4945,18.2775,34.98,25.3118,12.2187,4.0,54.68,48.9886
