Date,AMZN,AAPL,MSFT,GOOGL,TSLA,NVDA,META,NFLX
2013-09-16,14.803,16.0757,32.8,22.2162,11.1053,3.9525,42.51,43.1657
2013-09-17,15.2085,16.2614,32.93,22.1749,11.082,3.965,45.07,42.7929
2013-09-18,15.6015,16.5957,33.32,22.6056,11.0813,4.0,45.23,43.8457
2013-09-19,15.603,16.8679,33.64,22.4822,11.8613,3.9825,45.98,43.6429
2013-09-20,15.817,16.6932,32.79,22.6003,12.226,3.9475,47.49,44.8329
2013-09-23,15.5745,17.5229,32.74,22.1847,12.074,3.91,47.19,43.1486
2013-09-24,15.7065,17.4679,32.45,22.1932,12.1553,3.925,48.45,43.7843
2013-09-25,15.6325,17.1975,32.51,21.9527,12.3493,3.93,49.46,43.8771
2013-09-26,15.906,17.365,32.77,21.9762,12.576,3.9175,50.39,44.7871
2013-09-27,15.8005,17.2411,33.27,21.9317,12.7267,3.895,51.24,44.6286
2013-09-30,15.632,17.0268,33.28,21.9197,12.8913,3.89,50.23,44.1729
2013-10-01,16.0475,17.4271,33.58,22.1972,12.8667,3.8875,50.42,46.3743
2013-10-02,16.0255,17.4843,33.92,22.222,12.0633,3.885,50.28,47.2471
2013-10-03,15.738,17.2646,33.86,21.9242,11.554,3.845,49.18,45.96
2013-10-04,15.952,17.2511,33.88,21.8306,12.0653,3.8975,51.04,46.7514
2013-10-07,15.5015,17.4196,33.3,21.6652,12.2047,3.8975,50.52,45.4514
2013-10-08,15.1615,17.1764,33.01,21.3631,11.6487,3.865,47.14,43.1886
2013-10-09,14.9115,17.3782,33.07,21.4179,11.252,3.805,46.77,41.2043
2013-10-10,15.2585,17.4871,33.76,21.7277,11.5287,3.8475,49.05,43.4271
2013-10-11,15.5445,17.6004,34.13,21.8216,11.9133,3.815,49.11,42.9786
2013-10-14,15.535,17.7157,34.45,21.9247,11.9813,3.8725,49.51,46.3371
2013-10-15,15.32,17.81,34.49,22.0723,12.2627,3.8525,49.5,45.9557
2013-10-16,15.5245,17.8968,34.64,22.4732,12.2373,3.9,51.14,46.1257
2013-10-17,15.5385,18.0179,34.92,22.242,12.1867,3.9075,52.21,47.1571
2013-10-18,16.4465,18.1746,34.96,25.3106,12.2267,3.9525,54.22,47.6429
2013-10-21,16.322,18.62,34.99,25.1076,11.5067,3.9625,53.85,50.7129
2013-10-22,16.627,18.5668,34.58,25.2002,11.436,3.9425,52.68,46.0743
2013-10-23,16.338,18.7486,33.76,25.8111,10.9667,3.875,51.9,47.1771
2013-10-24,16.6105,18.9968,33.72,25.6644,11.5433,3.8475,52.45,47.3171
2013-10-25,18.1695,18.7843,35.73,25.4054,11.3107,3.81,51.95,46.8614
2013-10-28,17.908,18.9243,35.57,25.4004,10.8573,3.8025,50.23,44.8571
2013-10-29,18.135,18.4529,35.52,25.9319,10.9647,3.8075,49.4,46.7571
2013-10-30,18.054,18.7464,35.54,25.7863,10.6147,3.805,49.01,45.4486
2013-10-31,18.2015,18.6679,35.41,25.7903,10.6627,3.7975,50.21,46.0686
2013-11-01,17.95,18.5725,35.53,25.7017,10.8113,3.815,49.75,47.0386
2013-11-04,17.937,18.8125,35.94,25.6784,11.68,3.705,48.22,48.2286
2013-11-05,17.9445,18.7661,36.64,25.5636,11.7873,3.7,50.11,48.7857
2013-11-06,17.809,18.6043,38.18,25.5943,10.0773,3.725,49.12,47.9471
2013-11-07,17.178,18.3032,37.5,25.224,9.318,3.6375,47.56,46.6943
2013-11-08,17.5155,18.5914,37.78,25.4262,9.1967,3.89,47.53,47.8429
2013-11-11,17.719,18.5375,37.59,25.29,9.6467,3.9225,46.2,48.2729
2013-11-12,17.4765,18.5718,37.36,25.3198,9.1867,3.93,46.61,47.6757
2013-11-13,17.811,18.5939,38.16,25.8376,9.2467,4.0375,48.71,47.8971
2013-11-14,18.37,18.8629,38.02,25.9067,9.1733,4.055,48.99,48.9386
2013-11-15,18.4585,18.7496,37.84,25.8649,9.03,4.0425,49.01,49.9657
2013-11-18,18.309,18.5225,37.2,25.8146,8.1053,3.945,45.83,48.8243
2013-11-19,18.247,18.5554,36.74,25.6557,8.406,3.86,46.36,48.1843
2013-11-20,18.1285,18.3929,37.08,25.5833,8.074,3.8025,46.43,48.5029
2013-11-21,18.446,18.6121,37.4,25.8776,8.14,3.8325,46.7,49.7857
2013-11-22,18.6155,18.5643,37.57,25.8231,8.092,3.795,46.23,49.6929
2013-11-25,18.832,18.705,37.64,26.1744,8.056,3.8775,44.82,50.0343
2013-11-26,19.0685,19.05,37.35,26.4867,8.0333,3.91,45.89,50.7429
2013-11-27,19.3355,19.4986,37.6,26.6044,8.4627,3.925,46.49,51.7843
2013-11-29,19.681,19.8596,38.13,26.5163,8.4853,3.9,47.01,52.2571
2013-12-02,19.615,19.6868,38.45,26.3884,8.278,3.9375,47.06,51.9886
2013-12-03,19.233,20.2257,38.31,26.3579,9.6467,3.935,46.73,51.8486
2013-12-04,19.298,20.1786,38.94,26.481,9.2633,3.99,48.62,50.8957
2013-12-05,19.2245,20.2821,38.0,26.46,9.3653,3.925,48.34,51.1514
2013-12-06,19.3475,20.0007,38.36,26.7735,9.1573,3.8675,47.94,50.6343
2013-12-09,19.2445,20.2296,38.71,26.9805,9.44,3.8025,48.84,50.81
2013-12-10,19.389,20.1982,38.11,27.1436,9.4793,3.89,50.25,51.8714
2013-12-11,19.1095,20.0486,37.61,26.9592,9.31,3.8525,49.38,51.9971
2013-12-12,19.0625,20.0193,37.22,26.7758,9.8313,3.7775,51.83,53.3329
2013-12-13,19.212,19.8011,36.69,26.5463,9.8433,3.755,53.32,52.71
2013-12-16,19.4485,19.9107,36.89,26.8514,9.8627,3.76,53.81,52.33
2013-12-17,19.3825,19.8211,36.52,26.7733,10.164,3.7775,54.86,53.5529
2013-12-18,19.798,19.6704,36.58,27.1459,9.8653,3.83,55.57,53.7486
2013-12-19,19.7595,19.445,36.25,27.1827,9.3813,3.845,55.05,53.82
2013-12-20,20.11,19.6079,36.8,27.543,9.5493,3.9225,55.12,53.6671
2013-12-23,20.146,20.3604,36.62,27.9054,9.57,3.945,57.77,54.3686
2013-12-24,19.96,20.2739,37.08,27.8238,10.094,3.955,57.96,54.0557
2013-12-26,20.2195,20.1393,37.44,27.9645,10.3667,3.9175,57.73,53.8471
2013-12-27,19.904,20.0032,37.29,27.988,10.0747,3.94,55.44,52.5
2013-12-30,19.6685,19.8043,37.29,27.7643,10.1627,3.9925,53.71,52.4271
2013-12-31,19.9395,20.0364,37.41,28.0458,10.0287,4.005,54.65,52.5957
2014-01-02,19.8985,19.7546,37.16,27.8559,10.0067,3.965,54.71,51.8314
2014-01-03,19.822,19.3207,36.91,27.6527,9.9707,3.9175,54.56,51.8714
2014-01-06,19.6815,19.4261,36.13,27.961,9.8,3.97,57.2,51.3671
2014-01-07,19.9015,19.2871,36.41,28.5,9.9573,4.035,57.92,48.5
2014-01-08,20.096,19.4093,35.76,28.5593,10.0853,4.09,58.23,48.7129
2014-01-09,20.0505,19.1614,35.53,28.2843,9.8353,3.9375,57.22,48.15
2014-01-10,19.883,19.0336,36.04,28.2828,9.7147,3.9325,57.94,47.4486
2014-01-13,19.549,19.1332,34.98,28.1026,9.2893,3.84,55.91,48.1157
2014-01-14,19.877,19.5139,35.78,28.7638,10.7513,3.96,57.74,48.28
2014-01-15,19.7935,19.9057,36.76,28.7442,10.942,4.0025,57.6,47.1971
2014-01-16,19.79,19.7946,36.89,28.9344,11.398,4.015,57.19,47.3829
2014-01-17,19.9805,19.3096,36.38,28.792,11.334,3.9975,56.3,47.1486
2014-01-21,20.3525,19.6096,36.17,29.1216,11.7787,4.0125,58.51,46.9586
2014-01-22,20.227,19.6968,35.93,29.1547,11.904,4.0075,57.51,47.6757
2014-01-23,19.9935,19.8636,36.06,29.0315,12.1,3.9925,56.63,55.5314
2014-01-24,19.38,19.5025,36.81,28.1239,11.64,3.89,54.45,55.1543
2014-01-27,19.314,19.6607,36.03,27.5583,11.308,3.865,53.55,54.4614
2014-01-28,19.7215,18.0893,36.27,28.1034,11.892,3.9025,55.14,58.11
2014-01-29,19.21,17.8839,36.66,27.7007,11.682,3.865,53.53,57.2029
2014-01-30,20.1505,17.8493,36.86,28.4132,12.1893,3.93,61.08,57.81
2014-01-31,17.9345,17.8786,37.84,29.5538,12.094,3.925,62.57,58.4757
2014-02-03,17.3075,17.9118,36.48,28.3641,11.8073,3.8725,61.48,57.7686
2014-02-04,17.3975,18.1711,36.35,28.4825,11.9153,3.895,62.75,57.9871
2014-02-05,17.3225,18.3068,35.82,28.6086,11.628,3.86,62.19,57.7743
2014-02-06,17.7295,18.3039,36.18,29.028,11.892,3.91,62.16,58.2729
2014-02-07,18.054,18.56,36.56,29.4655,12.4353,3.9675,64.32,61.4257
2014-02-10,18.0435,18.8925,36.8,29.3526,13.104,3.98,63.55,61.4914
2014-02-11,18.0895,19.1414,37.17,29.7843,13.108,4.0625,64.85,61.9986
2014-02-12,17.4625,19.14,37.47,29.6969,13.0213,4.2075,64.45,61.2757
2014-02-13,17.86,19.4439,37.61,30.0275,13.3087,4.34,67.33,62.3643
2014-02-14,17.8675,19.4282,37.62,30.1001,13.2153,4.4775,67.09,62.2157
2014-02-18,17.6825,19.4996,37.42,30.3023,13.58,4.475,67.3,62.4071
2014-02-19,17.369,19.1918,37.51,30.0886,12.9093,4.535,68.06,61.1757
2014-02-20,17.49,18.9696,37.75,30.1329,13.998,4.695,69.63,62.1357
2014-02-21,17.338,18.7589,37.98,30.1249,13.9733,4.66,68.59,61.7471
2014-02-24,17.589,18.8411,37.69,30.3431,14.51,4.7275,70.78,63.8571
2014-02-25,17.916,18.645,37.54,30.5305,16.5333,4.685,69.85,64.7186
2014-02-26,17.99,18.4768,37.47,30.5348,16.8667,4.6775,69.26,64.1129
2014-02-27,18.0065,18.8454,37.86,30.5108,16.836,4.625,68.94,64.6043
2014-02-28,18.105,18.7943,38.31,30.4217,16.3207,4.595,68.46,63.6614
2014-03-03,17.989,18.8486,37.78,30.0973,16.704,4.5725,67.41,63.6557
2014-03-04,18.195,18.9729,38.41,30.4032,16.9893,4.62,68.8,64.9971
2014-03-05,18.6185,19.0129,38.11,30.487,16.844,4.66,71.57,64.7857
2014-03-06,18.608,18.9554,38.15,30.5208,16.8627,4.595,70.84,64.3586
2014-03-07,18.603,18.9443,37.9,30.4002,16.414,4.59,69.8,64.0529
2014-03-10,18.5265,18.9614,37.82,30.3196,15.9227,4.5225,72.03,62.85
2014-03-11,18.441,19.1461,38.02,30.0298,15.6273,4.5675,70.1,62.4971
2014-03-12,18.532,19.1646,38.27,30.2127,16.0993,4.58,70.88,62.3686
2014-03-13,18.5755,18.9518,37.89,29.7563,15.8527,4.435,68.83,61.4371
2014-03-14,18.687,18.7389,37.7,29.3493,15.398,4.455,67.72,60.6414
2014-03-17,18.752,18.8121,38.05,29.8323,15.5987,4.455,68.74,60.3886
2014-03-18,18.9385,18.9786,39.55,30.3118,16.0027,4.56,69.19,60.0357
2014-03-19,18.6615,18.9736,39.27,30.0113,15.7227,4.64,68.24,60.0129
2014-03-20,18.4485,18.8821,40.33,29.959,15.6607,4.6425,66.97,60.61
2014-03-21,18.031,19.0311,40.16,29.6056,15.2593,4.635,67.24,57.9986
2014-03-24,17.5925,19.2568,40.5,28.9772,14.678,4.6125,64.1,54.1286
2014-03-25,17.7355,19.4639,40.34,28.997,14.696,4.6125,64.89,52.9771
2014-03-26,17.1705,19.2779,39.79,28.3276,14.1973,4.5075,60.39,53.1829
2014-03-27,16.9235,19.195,39.36,27.8849,13.8213,4.4475,60.97,52.0257
2014-03-28,16.9145,19.1736,40.3,28.0318,14.158,4.475,60.01,51.2671
2014-03-31,16.8185,19.1693,40.99,27.8906,13.8967,4.4775,60.24,50.29
2014-04-01,17.1495,19.3446,41.42,28.4007,14.4647,4.6625,62.62,52.0986
2014-04-02,17.098,19.3768,41.35,28.4059,15.3527,4.6325,62.72,51.84
2014-04-03,16.681,19.2425,41.01,28.575,15.0267,4.6825,59.49,50.67
2014-04-04,16.15,18.9936,39.87,27.2625,14.1487,4.5375,56.75,48.1871
2014-04-07,15.888,18.6954,39.8,27.0315,13.8347,4.5525,56.95,48.2857
2014-04-08,16.3535,18.6943,39.82,27.8755,14.364,4.715,58.19,49.8414
2014-04-09,16.5905,18.94,40.47,28.352,14.462,4.71,62.41,50.4329
