Date,Open,High,Low,Close,Volume
2013-09-25,78.89,79.0,78.4,78.56,22746400
2013-09-26,78.88,79.36,78.85,79.17,22421700
2013-09-27,78.71,79.21,78.59,79.07,25151600
2013-09-30,78.25,79.09,78.0,78.88,28031900
2013-10-01,78.89,79.72,78.85,79.68,33129700
2013-10-02,79.14,79.76,79.06,79.65,25503800
2013-10-03,79.55,79.72,78.3,78.72,42998200
2013-10-04,78.72,79.51,78.65,79.4,22852700
2013-10-07,78.7,79.35,78.67,78.74,20227100
2013-10-08,78.74,78.81,77.19,77.22,43660700
2013-10-09,77.4,77.44,76.35,76.98,64526700
2013-10-10,77.81,78.79,77.79,78.61,48062700
2013-10-11,78.41,79.29,78.4,79.23,25214100
2013-10-14,78.74,79.79,78.68,79.79,31471900
2013-10-15,79.73,80.11,79.38,79.48,38684000
2013-10-16,79.85,80.42,79.79,80.38,46735900
2013-10-17,80.02,80.87,79.95,80.84,32193500
2013-10-18,81.58,82.18,81.35,82.15,39628200
2013-10-21,82.34,82.54,82.07,82.33,31176900
2013-10-22,82.65,82.9,81.93,82.45,43944800
2013-10-23,82.05,82.2,81.55,81.95,38021300
2013-10-24,82.0,82.48,81.88,82.31,23155100
2013-10-25,83.08,83.28,82.5,82.9,35824500
2013-10-28,82.91,83.05,82.55,82.92,28618400
2013-10-29,83.2,83.26,82.7,83.06,36878100
2013-10-30,83.35,83.49,82.58,82.98,33535500
2013-10-31,82.77,83.3,82.48,82.79,31309900
2013-11-01,83.07,83.17,82.4,82.81,30867800
2013-11-04,83.06,83.07,82.64,82.93,16834000
2013-11-05,82.61,83.22,82.37,83.02,27975600
2013-11-06,83.37,83.4,82.73,83.0,25576800
2013-11-07,83.01,83.13,81.37,81.44,52173200
2013-11-08,81.74,82.56,81.51,82.54,31470500
2013-11-11,82.42,82.64,82.14,82.41,24822900
2013-11-12,82.16,82.66,82.12,82.54,20108500
2013-11-13,82.0,83.55,82.0,83.54,31345900
2013-11-14,83.32,83.86,83.14,83.8,31101200
2013-11-15,83.82,83.96,83.61,83.96,20511300
2013-11-18,83.94,84.11,82.98,83.14,31679600
2013-11-19,83.09,83.49,82.76,82.9,25545300
2013-11-20,83.12,83.43,82.46,82.7,32177400
2013-11-21,83.05,83.61,82.98,83.54,28125000
2013-11-22,83.68,84.02,83.62,83.99,25361300
2013-11-25,84.29,84.38,83.98,84.19,21695100
2013-11-26,84.21,84.84,84.03,84.63,26621000
2013-11-27,84.8,85.24,84.73,85.22,21638100
2013-11-29,85.56,85.84,85.47,85.73,16708900
2013-12-02,85.83,85.96,85.35,85.48,26354600
2013-12-03,85.42,85.64,85.08,85.41,37147000
2013-12-04,85.05,85.77,84.78,85.49,37193200
2013-12-05,85.56,85.66,85.17,85.38,39829300
2013-12-06,86.1,86.18,85.59,86.0,36842900
2013-12-09,86.35,86.53,86.2,86.35,22590000
2013-12-10,86.21,86.45,86.12,86.29,26965900
2013-12-11,86.28,86.4,85.06,85.18,36830600
2013-12-12,85.21,85.42,84.9,84.96,33662600
2013-12-13,85.36,85.4,84.71,84.85,34072000
2013-12-16,85.27,85.81,85.21,85.32,24902500
2013-12-17,85.32,85.53,84.99,85.15,24454900
